EEG,Heart,Label
2.75,74,A
3.9,70,A
197.0,89,B
157.0,84,B
5.46,75,C
3.2,73,A
4.31,80,C
2.31,70,A
164.0,89,B
165.0,89,B
157.0,86,B
4.12,70,C
5.73,77,C
178.0,90,B
195.0,90,B
198.0,87,B
160.0,84,B
5.2,75,C
3.42,70,A
2.04,71,A
161.0,88,B
5.94,79,C
3.66,80,A
2.42,73,A
2.36,77,A
2.37,77,A
2.61,76,A
3.05,76,A
4.86,78,C
4.58,76,C
3.22,75,A
2.28,78,A
2.58,77,A
174.0,90,B
163.0,88,B
156.0,89,B
4.73,78,C
4.91,80,C
5.57,72,C
2.4,73,A
3.03,72,A
3.18,76,A
151.0,86,B
150.0,80,B
166.0,89,B
186.0,86,B
4.09,78,C
5.22,75,C
4.34,76,C
2.13,72,A
168.0,83,B
191.0,89,B
159.0,89,B
170.0,84,B
162.0,83,B
152.0,82,B
5.9,76,C
5.93,73,C
5.62,74,C
4.61,78,C
4.2,76,C
5.37,73,C
2.88,76,A
4.24,75,C
2.99,75,A
2.07,71,A
178.0,89,B
5.82,80,C
4.52,73,C
3.33,78,A
155.0,87,B
187.0,81,B
4.62,73,C
5.04,70,C
5.09,75,C
198.0,88,B
4.37,70,C
5.94,78,C
3.55,79,A
197.0,80,B
181.0,87,B
164.0,88,B
169.0,87,B
185.0,81,B
5.88,74,C
5.79,70,C
167.0,87,B
161.0,90,B
193.0,81,B
155.0,80,B
5.2,75,C
5.84,75,C
4.18,77,C
181.0,85,B
4.39,79,C
4.09,79,C
4.65,80,C
2.78,74,A
163.0,86,B
4.54,72,C
3.66,73,A
2.71,70,A
198.0,80,B
4.56,74,C
5.09,70,C
2.28,79,A
3.6,73,A
177.0,85,B
180.0,90,B
4.15,73,C
5.97,75,C
3.54,73,A
2.4,73,A
2.01,73,A
3.63,70,A
194.0,87,B
153.0,87,B
161.0,85,B
5.41,73,C
5.46,79,C
5.54,72,C
2.15,74,A
178.0,90,B
182.0,82,B
4.72,70,C
2.23,75,A
185.0,87,B
183.0,83,B
169.0,87,B
157.0,81,B
5.73,80,C
5.25,80,C
4.66,73,C
4.13,71,C
2.62,73,A
2.65,80,A
3.46,80,A
3.28,72,A
151.0,84,B
198.0,87,B
185.0,83,B
5.77,75,C
4.94,72,C
2.24,80,A
3.43,71,A
164.0,88,B
5.52,75,C
5.12,78,C
3.54,75,A
151.0,81,B
4.99,72,C
5.05,74,C
4.86,76,C
4.05,75,C
2.22,74,A
166.0,83,B
153.0,84,B
4.06,75,C
3.27,79,A
2.63,77,A
3.02,75,A
5.82,74,C
4.5,73,C
2.82,70,A
193.0,81,B
164.0,81,B
5.51,80,C
4.46,72,C
2.15,74,A
4.58,80,C
4.32,70,C
5.86,71,C
5.62,70,C
5.27,70,C
3.74,76,A
3.61,74,A
198.0,85,B
4.37,70,C
5.79,74,C
5.08,76,C
3.61,74,A
5.79,74,C
4.64,75,C
2.22,74,A
2.46,73,A
2.85,80,A
5.64,72,C
5.72,75,C
2.01,78,A
