EEG,Heart,Pressure,Label
209,74,131,A
256,70,115,A
197,89,107,B
157,84,134,B
178,75,152,C
212,73,110,A
172,80,148,C
294,70,137,A
164,89,101,B
165,89,106,B
157,86,113,B
164,70,154,C
166,77,151,C
178,90,122,B
195,90,137,B
198,87,129,B
160,84,101,B
176,75,147,C
269,70,131,A
294,71,125,A
161,88,139,B
195,79,152,C
243,80,128,A
212,73,100,A
227,77,102,A
200,77,123,A
279,76,130,A
266,76,111,A
174,78,155,C
160,76,165,C
283,75,108,A
294,78,110,A
289,77,130,A
174,90,109,B
163,88,139,B
156,89,105,B
168,78,158,C
174,80,153,C
199,72,144,C
262,73,140,A
295,72,120,A
281,76,128,A
151,86,134,B
150,80,122,B
166,89,120,B
186,86,104,B
189,78,141,C
155,75,165,C
197,76,158,C
256,72,107,A
168,83,130,B
191,89,122,B
159,89,104,B
170,84,139,B
162,83,128,B
152,82,100,B
178,76,144,C
155,73,143,C
152,74,160,C
200,78,158,C
187,76,143,C
193,73,160,C
219,76,138,A
170,75,148,C
260,75,140,A
255,71,120,A
178,89,109,B
187,80,142,C
182,73,161,C
276,78,112,A
155,87,134,B
187,81,124,B
173,73,141,C
169,70,140,C
172,75,170,C
198,88,136,B
183,70,153,C
164,78,148,C
200,79,104,A
197,80,114,B
181,87,110,B
164,88,110,B
169,87,134,B
185,81,107,B
190,74,147,C
176,70,166,C
167,87,134,B
161,90,116,B
193,81,101,B
155,80,117,B
163,75,167,C
162,75,159,C
189,77,166,C
181,85,139,B
170,79,160,C
161,79,156,C
163,80,158,C
262,74,119,A
163,86,114,B
189,72,160,C
254,73,134,A
290,70,108,A
198,80,120,B
180,74,165,C
178,70,162,C
250,79,140,A
275,73,132,A
177,85,104,B
180,90,120,B
187,73,167,C
181,75,169,C
225,73,116,A
207,73,139,A
248,73,120,A
275,70,103,A
194,87,106,B
153,87,138,B
161,85,114,B
184,73,167,C
185,79,157,C
183,72,141,C
246,74,139,A
178,90,132,B
182,82,111,B
169,70,156,C
239,75,124,A
185,87,127,B
183,83,113,B
169,87,103,B
157,81,120,B
197,80,168,C
173,80,147,C
171,73,155,C
175,71,154,C
274,73,107,A
242,80,128,A
242,80,119,A
265,72,112,A
151,84,128,B
198,87,101,B
185,83,115,B
189,75,162,C
161,72,145,C
257,80,127,A
271,71,131,A
164,88,120,B
181,75,143,C
167,78,162,C
249,75,127,A
151,81,127,B
154,72,149,C
169,74,143,C
200,76,160,C
167,75,168,C
224,74,132,A
166,83,108,B
153,84,126,B
164,75,157,C
250,79,117,A
204,77,101,A
211,75,113,A
200,74,162,C
178,73,157,C
247,70,138,A
193,81,104,B
164,81,122,B
192,80,153,C
151,72,160,C
220,74,121,A
170,80,161,C
162,70,157,C
165,71,163,C
177,70,151,C
161,70,144,C
277,76,136,A
295,74,103,A
198,85,133,B
172,70,156,C
172,74,152,C
169,76,143,C
275,74,131,A
155,74,162,C
154,75,146,C
216,74,139,A
290,73,108,A
215,80,129,A
188,72,166,C
183,75,163,C
244,78,132,A
216,77,126,A
157,82,108,B
193,83,102,B
158,70,143,C
298,70,108,A
201,73,125,A
279,73,134,A
206,73,111,A
177,84,128,B
182,80,157,C
182,75,140,C
158,75,155,C
160,74,164,C
165,70,167,C
202,77,105,A
256,71,110,A
178,80,137,B
155,80,157,C
169,71,155,C
216,78,103,A
290,80,100,A
187,75,169,C
192,74,150,C
298,71,127,A
187,82,124,B
174,89,140,B
191,70,167,C
183,80,109,B
156,89,110,B
181,82,106,B
169,73,141,C
280,78,125,A
189,72,163,C
165,82,102,B
193,90,111,B
198,88,132,B
170,73,164,C
172,72,157,C
153,76,151,C
190,86,135,B
152,84,102,B
200,76,166,C
175,73,149,C
234,73,128,A
159,85,108,B
177,78,148,C
178,78,165,C
223,76,140,A
246,74,110,A
261,80,128,A
159,89,122,B
185,86,105,B
162,70,140,C
184,76,167,C
176,78,155,C
157,82,101,B
166,80,156,C
150,79,157,C
262,70,126,A
177,81,105,B
198,76,159,C
228,79,112,A
272,76,117,A
251,77,114,A
178,77,147,C
172,70,160,C
167,78,165,C
252,78,131,A
224,70,126,A
171,81,125,B
228,80,131,A
240,79,124,A
276,78,110,A
157,85,120,B
156,80,140,B
185,76,161,C
152,73,144,C
174,72,153,C
194,86,140,B
154,87,109,B
164,79,151,C
185,76,150,C
165,77,147,C
155,76,145,C
158,87,133,B
182,73,154,C
195,79,170,C
164,74,170,C
283,80,122,A
169,90,111,B
195,80,103,B
151,90,136,B
198,76,167,C
252,75,112,A
249,71,108,A
278,78,140,A
178,79,159,C
294,79,114,A
244,70,134,A
177,82,137,B
197,80,167,C
163,75,149,C
179,72,154,C
278,70,125,A
247,73,135,A
152,80,127,B
185,87,120,B
163,84,134,B
150,79,165,C
190,72,151,C
178,75,168,C
297,77,132,A
193,82,140,B
167,84,133,B
183,85,118,B
156,83,102,B
174,76,148,C
198,80,170,C
180,80,169,C
300,74,134,A
241,72,132,A
183,84,117,B
200,86,112,B
187,75,141,C
163,78,158,C
169,72,154,C
177,70,144,C
266,72,120,A
182,88,130,B
184,81,127,B
197,72,168,C
184,80,151,C
169,79,150,C
263,74,108,A
156,87,124,B
151,89,108,B
174,89,118,B
155,85,110,B
153,75,143,C
162,73,150,C
262,79,118,A
164,84,137,B
193,72,160,C
172,80,163,C
152,76,148,C
213,79,117,A
160,83,138,B
184,86,120,B
169,81,136,B
180,75,154,C
173,71,168,C
173,77,160,C
239,79,123,A
169,84,112,B
176,90,117,B
172,76,151,C
152,70,154,C
219,72,125,A
257,74,130,A
157,80,140,C
174,70,165,C
259,74,131,A
