EEG,Heart,Label
2.77,74,A
2.75,70,A
1.66,89,B
1.8,84,B
3.11,75,C
2.37,73,A
3.25,80,C
2.41,70,A
1.96,89,B
1.23,89,B
1.78,86,B
3.38,70,C
3.59,77,C
1.13,90,B
1.76,90,B
1.76,87,B
1.76,84,B
3.54,75,C
2.36,70,A
2.31,71,A
1.89,88,B
3.15,79,C
2.95,80,A
2.38,73,A
2.19,77,A
2.74,77,A
2.07,76,A
2.1,76,A
3.01,78,C
3.81,76,C
2.46,75,A
2.9,78,A
2.91,77,A
1.92,90,B
1.26,88,B
1.15,89,B
3.35,78,C
3.0,80,C
3.94,72,C
2.09,73,A
2.24,72,A
2.77,76,A
1.76,86,B
1.48,80,B
1.48,89,B
1.33,86,B
3.8,78,C
3.91,75,C
3.4,76,C
2.19,72,A
1.87,83,B
1.12,89,B
1.72,89,B
1.86,84,B
1.05,83,B
1.94,82,B
3.46,76,C
3.54,73,C
3.41,74,C
3.76,78,C
3.6,76,C
3.68,73,C
2.26,76,A
3.92,75,C
2.6,75,A
2.46,71,A
1.53,89,B
3.9,80,C
3.19,73,C
2.71,78,A
1.15,87,B
1.86,81,B
3.91,73,C
3.3,70,C
3.23,75,C
1.3,88,B
3.93,70,C
3.13,78,C
2.46,79,A
1.02,80,B
1.34,87,B
1.22,88,B
1.14,87,B
1.91,81,B
3.86,74,C
3.61,70,C
1.5,87,B
1.33,90,B
1.89,81,B
1.06,80,B
3.56,75,C
3.85,75,C
3.07,77,C
2.0,85,B
3.33,79,C
3.88,79,C
3.33,80,C
2.44,74,A
1.29,86,B
3.65,72,C
2.22,73,A
2.71,70,A
1.07,80,B
3.97,74,C
3.84,70,C
2.45,79,A
2.27,73,A
1.9,85,B
1.94,90,B
3.63,73,C
3.18,75,C
2.49,73,A
2.22,73,A
2.36,73,A
2.56,70,A
1.8,87,B
1.09,87,B
1.82,85,B
3.8,73,C
3.99,79,C
3.34,72,C
2.71,74,A
1.55,90,B
1.58,82,B
3.89,70,C
2.83,75,A
1.84,87,B
1.11,83,B
1.79,87,B
1.17,81,B
3.34,80,C
